[2025-01-09T12:28:14.854+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-09T12:28:14.990+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:15.032+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:17.036+0000] {parse.py:68} INFO - Row number: 16 in collection page
[2025-01-09T12:28:17.039+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 16
[2025-01-09T12:28:17.041+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 16
[2025-01-09T12:28:17.047+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 16
[2025-01-09T12:28:17.049+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 16
[2025-01-09T12:28:17.052+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 16
[2025-01-09T12:28:17.054+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 16
[2025-01-09T12:28:17.057+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 16
[2025-01-09T12:28:17.060+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 16
[2025-01-09T12:28:17.063+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 16
[2025-01-09T12:28:17.065+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 16
[2025-01-09T12:28:17.067+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 16
[2025-01-09T12:28:17.073+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 16
[2025-01-09T12:28:17.075+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 16
[2025-01-09T12:28:17.080+0000] {parse.py:68} INFO - Row number: 17 in collection page
[2025-01-09T12:28:17.082+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 17
[2025-01-09T12:28:17.085+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 17
[2025-01-09T12:28:17.088+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 17
[2025-01-09T12:28:17.094+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 17
[2025-01-09T12:28:17.096+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 17
[2025-01-09T12:28:17.099+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 17
[2025-01-09T12:28:17.102+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 17
[2025-01-09T12:28:17.107+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 17
[2025-01-09T12:28:17.119+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 17
[2025-01-09T12:28:17.148+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 17
[2025-01-09T12:28:17.170+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 17
[2025-01-09T12:28:17.187+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 17
[2025-01-09T12:28:17.196+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 17
[2025-01-09T12:28:17.200+0000] {parse.py:68} INFO - Row number: 18 in collection page
[2025-01-09T12:28:17.208+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 18
[2025-01-09T12:28:17.217+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 18
[2025-01-09T12:28:17.220+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 18
[2025-01-09T12:28:17.231+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 18
