[2024-12-29T04:23:24.336+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:23:24.399+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.647+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:25.528+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 14
[2024-12-29T04:23:25.530+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 14
[2024-12-29T04:23:25.531+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 14
[2024-12-29T04:23:25.532+0000] {parse.py:68} INFO - Row number: 15 in collection page
[2024-12-29T04:23:25.534+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 15
[2024-12-29T04:23:25.536+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 15
[2024-12-29T04:23:25.537+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 15
[2024-12-29T04:23:25.539+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 15
[2024-12-29T04:23:25.540+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 15
[2024-12-29T04:23:25.541+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 15
[2024-12-29T04:23:25.543+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 15
[2024-12-29T04:23:25.544+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 15
[2024-12-29T04:23:25.546+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 15
[2024-12-29T04:23:25.547+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 15
[2024-12-29T04:23:25.548+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 15
[2024-12-29T04:23:25.550+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 15
[2024-12-29T04:23:25.552+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 15
[2024-12-29T04:23:25.553+0000] {parse.py:68} INFO - Row number: 16 in collection page
[2024-12-29T04:23:25.555+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 16
[2024-12-29T04:23:25.556+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 16
[2024-12-29T04:23:25.558+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 16
[2024-12-29T04:23:25.559+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 16
[2024-12-29T04:23:25.560+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 16
[2024-12-29T04:23:25.562+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 16
[2024-12-29T04:23:25.563+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 16
[2024-12-29T04:23:25.564+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 16
[2024-12-29T04:23:25.566+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 16
[2024-12-29T04:23:25.568+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 16
[2024-12-29T04:23:25.569+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 16
[2024-12-29T04:23:25.571+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 16
[2024-12-29T04:23:25.572+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 16
[2024-12-29T04:23:25.573+0000] {parse.py:68} INFO - Row number: 17 in collection page
[2024-12-29T04:23:25.574+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 17
[2024-12-29T04:23:25.576+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 17
[2024-12-29T04:23:25.577+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 17
[2024-12-29T04:23:25.578+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 17
[2024-12-29T04:23:25.580+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 17
[2024-12-29T04:23:25.581+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 17
[2024-12-29T04:23:25.583+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 17
[2024-12-29T04:23:25.584+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 17
[2024-12-29T04:23:25.586+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 17
[2024-12-29T04:23:25.588+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 17
[2024-12-29T04:23:25.590+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 17
[2024-12-29T04:23:25.591+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 17
[2024-12-29T04:23:25.593+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 17
[2024-12-29T04:23:25.595+0000] {parse.py:68} INFO - Row number: 18 in collection page
[2024-12-29T04:23:25.597+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 18
[2024-12-29T04:23:25.598+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 18
[2024-12-29T04:23:25.600+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 18
[2024-12-29T04:23:25.601+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 18
[2024-12-29T04:23:25.603+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 18
[2024-12-29T04:23:25.604+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 18
[2024-12-29T04:23:25.608+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 18
[2024-12-29T04:23:25.613+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 18
[2024-12-29T04:23:25.615+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 18
